 UNIVERSIDADE FEDERAL DE SANTA MARIA
 ANALISE LINEAR DE GRELHAS PLANAS
 VERSAO JANEIRO/2009
 
 GRELHA_ECC840_2025_MODELO_01_D
 
 NO         COORDX         COORDY       RESTR X       RESTR Y       RESTR Z
 
   1         15.000        300.000          1             1             1
   2         45.000        300.000          0             0             1
   3         75.000        300.000          0             0             1
   4        105.000        300.000          0             0             1
   5        135.000        300.000          0             0             1
   6        165.000        300.000          0             0             1
   7        195.000        300.000          0             0             1
   8        225.000        300.000          0             0             1
   9        255.000        300.000          0             0             1
  10        285.000        300.000          0             0             1
  11        315.000        300.000          0             0             1
  12        345.000        300.000          0             0             1
  13        375.000        300.000          0             0             1
  14        405.000        300.000          0             0             1
  15        435.000        300.000          0             0             1
  16        465.000        300.000          0             0             1
  17        495.000        300.000          0             0             1
  18        525.000        300.000          0             0             1
  19        555.000        300.000          0             0             1
  20        585.000        300.000          1             1             1
  21          0.000        285.000          1             1             1
  22         15.000        285.000          0             0             1
  23         45.000        285.000          0             0             0
  24         75.000        285.000          0             0             0
  25        105.000        285.000          0             0             0
  26        135.000        285.000          0             0             0
  27        165.000        285.000          0             0             0
  28        195.000        285.000          0             0             0
  29        225.000        285.000          0             0             0
  30        255.000        285.000          0             0             0
  31        285.000        285.000          0             0             0
  32        315.000        285.000          0             0             0
  33        345.000        285.000          0             0             0
  34        375.000        285.000          0             0             0
  35        405.000        285.000          0             0             0
  36        435.000        285.000          0             0             0
  37        465.000        285.000          0             0             0
  38        495.000        285.000          0             0             0
  39        525.000        285.000          0             0             0
  40        555.000        285.000          0             0             0
  41        585.000        285.000          0             0             1
  42        600.000        285.000          1             1             1
  43          0.000        255.000          0             0             1
  44         15.000        255.000          0             0             0
  45         45.000        255.000          0             0             0
  46         75.000        255.000          0             0             0
  47        105.000        255.000          0             0             0
  48        135.000        255.000          0             0             0
  49        165.000        255.000          0             0             0
  50        195.000        255.000          0             0             0
  51        225.000        255.000          0             0             0
  52        255.000        255.000          0             0             0
  53        285.000        255.000          0             0             0
  54        315.000        255.000          0             0             0
  55        345.000        255.000          0             0             0
  56        375.000        255.000          0             0             0
  57        405.000        255.000          0             0             0
  58        435.000        255.000          0             0             0
  59        465.000        255.000          0             0             0
  60        495.000        255.000          0             0             0
  61        525.000        255.000          0             0             0
  62        555.000        255.000          0             0             0
  63        585.000        255.000          0             0             0
  64        600.000        255.000          0             0             1
  65          0.000        225.000          0             0             1
  66         15.000        225.000          0             0             0
  67         45.000        225.000          0             0             0
  68         75.000        225.000          0             0             0
  69        105.000        225.000          0             0             0
  70        135.000        225.000          0             0             0
  71        165.000        225.000          0             0             0
  72        195.000        225.000          0             0             0
  73        225.000        225.000          0             0             0
  74        255.000        225.000          0             0             0
  75        285.000        225.000          0             0             0
  76        315.000        225.000          0             0             0
  77        345.000        225.000          0             0             0
  78        375.000        225.000          0             0             0
  79        405.000        225.000          0             0             0
  80        435.000        225.000          0             0             0
  81        465.000        225.000          0             0             0
  82        495.000        225.000          0             0             0
  83        525.000        225.000          0             0             0
  84        555.000        225.000          0             0             0
  85        585.000        225.000          0             0             0
  86        600.000        225.000          0             0             1
  87          0.000        195.000          0             0             1
  88         15.000        195.000          0             0             0
  89         45.000        195.000          0             0             0
  90         75.000        195.000          0             0             0
  91        105.000        195.000          0             0             0
  92        135.000        195.000          0             0             0
  93        165.000        195.000          0             0             0
  94        195.000        195.000          0             0             0
  95        225.000        195.000          0             0             0
  96        255.000        195.000          0             0             0
  97        285.000        195.000          0             0             0
  98        315.000        195.000          0             0             0
  99        345.000        195.000          0             0             0
 100        375.000        195.000          0             0             0
 101        405.000        195.000          0             0             0
 102        435.000        195.000          0             0             0
 103        465.000        195.000          0             0             0
 104        495.000        195.000          0             0             0
 105        525.000        195.000          0             0             0
 106        555.000        195.000          0             0             0
 107        585.000        195.000          0             0             0
 108        600.000        195.000          0             0             1
 109          0.000        165.000          0             0             1
 110         15.000        165.000          0             0             0
 111         45.000        165.000          0             0             0
 112         75.000        165.000          0             0             0
