 UNIVERSIDADE FEDERAL DE SANTA MARIA
 ANALISE LINEAR DE GRELHAS PLANAS
 VERSAO JANEIRO/2009
 
 GRELHA_ECC840_2025_1_MODELO_02
 
 NO         COORDX         COORDY       RESTR X       RESTR Y       RESTR Z
 
   1          0.000        300.000          1             1             1
   2         30.000        300.000          0             0             0
   3         60.000        300.000          0             0             0
   4         90.000        300.000          0             0             0
   5        120.000        300.000          0             0             0
   6        150.000        300.000          0             0             0
   7        180.000        300.000          0             0             0
   8        210.000        300.000          0             0             0
   9        240.000        300.000          0             0             0
  10        270.000        300.000          0             0             0
  11        300.000        300.000          0             0             0
  12        330.000        300.000          0             0             0
  13        360.000        300.000          0             0             0
  14        390.000        300.000          0             0             0
  15        420.000        300.000          0             0             0
  16        450.000        300.000          0             0             0
  17        480.000        300.000          0             0             0
  18        510.000        300.000          0             0             0
  19        540.000        300.000          0             0             0
  20        570.000        300.000          0             0             0
  21        600.000        300.000          1             1             1
  22          0.000        270.000          0             0             0
  23         30.000        270.000          0             0             0
  24         60.000        270.000          0             0             0
  25         90.000        270.000          0             0             0
  26        120.000        270.000          0             0             0
  27        150.000        270.000          0             0             0
  28        180.000        270.000          0             0             0
  29        210.000        270.000          0             0             0
  30        240.000        270.000          0             0             0
  31        270.000        270.000          0             0             0
  32        300.000        270.000          0             0             0
  33        330.000        270.000          0             0             0
  34        360.000        270.000          0             0             0
  35        390.000        270.000          0             0             0
  36        420.000        270.000          0             0             0
  37        450.000        270.000          0             0             0
  38        480.000        270.000          0             0             0
  39        510.000        270.000          0             0             0
  40        540.000        270.000          0             0             0
  41        570.000        270.000          0             0             0
  42        600.000        270.000          0             0             0
  43          0.000        240.000          0             0             0
  44         30.000        240.000          0             0             0
  45         60.000        240.000          0             0             0
  46         90.000        240.000          0             0             0
  47        120.000        240.000          0             0             0
  48        150.000        240.000          0             0             0
  49        180.000        240.000          0             0             0
  50        210.000        240.000          0             0             0
  51        240.000        240.000          0             0             0
  52        270.000        240.000          0             0             0
  53        300.000        240.000          0             0             0
  54        330.000        240.000          0             0             0
  55        360.000        240.000          0             0             0
  56        390.000        240.000          0             0             0
  57        420.000        240.000          0             0             0
  58        450.000        240.000          0             0             0
  59        480.000        240.000          0             0             0
  60        510.000        240.000          0             0             0
  61        540.000        240.000          0             0             0
  62        570.000        240.000          0             0             0
  63        600.000        240.000          0             0             0
  64          0.000        210.000          0             0             0
  65         30.000        210.000          0             0             0
  66         60.000        210.000          0             0             0
  67         90.000        210.000          0             0             0
  68        120.000        210.000          0             0             0
  69        150.000        210.000          0             0             0
  70        180.000        210.000          0             0             0
  71        210.000        210.000          0             0             0
  72        240.000        210.000          0             0             0
  73        270.000        210.000          0             0             0
  74        300.000        210.000          0             0             0
  75        330.000        210.000          0             0             0
  76        360.000        210.000          0             0             0
  77        390.000        210.000          0             0             0
  78        420.000        210.000          0             0             0
  79        450.000        210.000          0             0             0
  80        480.000        210.000          0             0             0
  81        510.000        210.000          0             0             0
  82        540.000        210.000          0             0             0
  83        570.000        210.000          0             0             0
  84        600.000        210.000          0             0             0
  85          0.000        180.000          0             0             0
  86         30.000        180.000          0             0             0
  87         60.000        180.000          0             0             0
  88         90.000        180.000          0             0             0
  89        120.000        180.000          0             0             0
  90        150.000        180.000          0             0             0
